Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
5.4-type-binfbp-sibsp-dec,79.64,80.29,' ',78.90,' ',78.86,' ',79.70,' ',79.70,' ',78.88,' ',80.25,' ',80.40,' ',79.29,' ',80.07,' ',78.79,' ',78.79,' ',78.79,' ',78.82,' ',78.82,' ',75.96,*,76.16,*,76.16,*,76.16,*,73.56,*,80.08,' ',80.08,' ',80.08,' ',80.61,' '
'[v/ /*]','','',[4/60/1],'',[0/15/50],'',[0/65/0],'',[0/63/2],'',[0/63/2],'',[1/64/0],'',[0/64/1],'',[0/62/3],'',[0/65/0],'',[6/59/0],'',[0/44/21],'',[0/43/22],'',[0/44/21],'',[0/54/11],'',[0/51/14],'',[1/10/54],'',[1/14/50],'',[1/15/49],'',[1/14/50],'',[0/17/48],'',[0/60/5],'',[0/60/5],'',[0/60/5],'',[0/62/3]


Key,
[1],'trees.ADTree \'-B 10 -E -3\' -1532264837167690683'
[2],'trees.BFTree \'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED\' -7035607375962528217'
[3],'trees.DecisionStump \'\' 1618384535950391'
[4],'trees.FT \'-I 15 -F 0 -M 15 -W 0.0\' -1113212459618105000'
[5],'trees.J48 \'-C 0.25 -M 2\' -217733168393644444'
[6],'trees.J48graft \'-C 0.25 -M 2\' 8823716098042427799'
[7],'trees.NBTree \'\' -4716005707058256086'
[8],'trees.RandomForest \'-I 10 -K 0 -S 1\' -2260823972777004705'
[9],'trees.RandomTree \'-K 0 -M 1.0 -S 1\' 8934314652175299374'
[10],'trees.REPTree \'-M 2 -V 0.001 -N 3 -S 1 -L -1\' -9216785998198681299'
[11],'trees.SimpleCart \'-S 1 -M 2.0 -N 5 -C 1.0\' 4154189200352566053'
[12],'functions.SMO \'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"functions.supportVector.PolyKernel -C 250007 -E 1.0\\\"\' -6585883636378691736'
