Signals,Read,Detected,PercentDetected,Percent1us
1,223,223,100,100
2,215,215,100,95.35
3,214,214,100,93.46
4,218,218,100,94.95
5,225,225,100,88
6,219,219,100,91.32
7,212,212,100,92.92
8,223,223,100,91.03
9,212,212,100,92.92
10,213,213,100,95.31
20,220,220,100,94.09
30,218,218,100,94.04
40,229,229,100,96.94
50,222,222,100,97.75
60,233,233,100,96.14
70,234,234,100,92.31
80,240,240,100,93.33
90,242,242,100,90.5
100,247,247,100,87.45
150,254,254,100,70.47
200,256,256,100,61.33
250,276,276,100,57.97
300,272,272,100,61.76
350,304,304,100,47.7
400,296,296,100,50.34
450,309,309,100,46.93
500,314,314,100,44.27
550,326,326,100,42.02
600,339,339,100,37.46
650,335,335,100,42.39
700,346,346,100,41.33
750,341,341,100,42.23
800,354,354,100,38.14
850,358,358,100,36.31
900,375,375,100,37.33
950,370,370,100,39.73
1000,374,374,100,34.22
1050,376,376,100,39.1
1100,376,376,100,38.3
1150,373,373,100,40.21
1200,391,391,100,36.32
1250,374,374,100,38.24
1300,376,376,100,32.71
1350,377,377,100,34.22
1400,379,379,100,30.08
1450,377,377,100,30.5
1500,383,383,100,30.29
