Signals,Read,Detected,PercentDetected,Percent1us
1,198,198,100,93.43
2,213,213,100,92.49
3,219,219,100,94.06
4,210,210,100,95.71
5,210,210,100,94.29
6,215,215,100,92.56
7,209,209,100,96.65
8,213,213,100,98.59
9,209,209,100,97.61
10,224,224,100,98.66
20,214,214,100,98.6
30,220,220,100,96.82
40,236,236,100,95.34
50,229,229,100,95.2
60,229,229,100,90.83
70,228,228,100,84.21
80,234,234,100,82.05
90,226,226,100,72.57
100,249,249,100,64.26
150,271,271,100,51.66
200,275,275,100,46.18
250,276,276,100,43.12
300,283,283,100,37.46
350,296,296,100,37.5
400,318,318,100,31.13
450,307,307,100,33.55
500,328,328,100,28.66
550,328,328,100,31.71
600,333,333,100,27.33
650,332,332,100,21.08
700,325,325,100,29.85
750,353,353,100,24.36
800,354,354,100,20.62
850,364,364,100,24.45
900,353,353,100,26.35
950,351,351,100,25.36
1000,359,359,100,22.84
1050,377,377,100,23.61
1100,360,360,100,22.22
1150,366,366,100,24.04
1200,352,352,100,29.83
1250,363,363,100,27.82
1300,370,370,100,22.97
1350,371,371,100,21.29
1400,385,385,100,23.9
1450,377,377,100,22.55
1500,373,373,100,18.77
