Signals,Pace,Changed,Detected,PercentDetected,Percent1us
100,100000.000000,31,31,100.00,83.87
100,90000.000000,35,35,100.00,77.14
100,80000.000000,40,40,100.00,87.50
100,70000.000000,41,41,100.00,80.49
100,60000.000000,47,47,100.00,80.85
100,50000.000000,52,52,100.00,88.46
100,40000.000000,66,66,100.00,75.76
100,30000.000000,80,80,100.00,76.25
100,20000.000000,117,117,100.00,80.34
100,10000.000000,194,194,100.00,71.13
500,100000.000000,28,28,100.00,71.43
500,90000.000000,45,45,100.00,77.78
500,80000.000000,47,47,100.00,76.60
500,70000.000000,48,48,100.00,83.33
500,60000.000000,62,62,100.00,70.97
500,50000.000000,74,74,100.00,71.62
500,40000.000000,83,83,100.00,66.27
500,30000.000000,114,114,100.00,61.40
500,20000.000000,129,129,100.00,51.94
500,10000.000000,252,252,100.00,43.65
1000,100000.000000,34,34,100.00,82.35
1000,90000.000000,36,36,100.00,80.56
1000,80000.000000,37,37,100.00,78.38
1000,70000.000000,49,49,100.00,83.67
1000,60000.000000,57,57,100.00,71.93
1000,50000.000000,70,70,100.00,64.29
1000,40000.000000,87,87,100.00,65.52
1000,30000.000000,114,114,100.00,49.12
1000,20000.000000,159,159,100.00,51.57
1000,10000.000000,277,277,100.00,32.49
10000,100000.000000,32,32,100.00,6.25
10000,90000.000000,38,38,100.00,31.58
10000,80000.000000,41,41,100.00,26.83
10000,70000.000000,53,53,100.00,20.75
10000,60000.000000,49,49,100.00,32.65
10000,50000.000000,64,64,100.00,17.19
10000,40000.000000,89,89,100.00,23.60
10000,30000.000000,110,110,100.00,18.18
10000,20000.000000,176,176,100.00,16.48
10000,10000.000000,322,322,100.00,12.73
100000,100000.000000,30,30,100.00,0.00
100000,90000.000000,37,37,100.00,0.00
100000,80000.000000,43,43,100.00,2.33
100000,70000.000000,47,47,100.00,10.64
100000,60000.000000,58,58,100.00,1.72
100000,50000.000000,71,71,100.00,2.82
100000,40000.000000,94,94,100.00,4.26
100000,30000.000000,120,120,100.00,1.67
100000,20000.000000,177,177,100.00,0.56
100000,10000.000000,367,367,100.00,1.91
1000000,100000.000000,34,34,100.00,0.00
1000000,90000.000000,44,44,100.00,0.00
1000000,80000.000000,41,41,100.00,0.00
1000000,70000.000000,44,44,100.00,2.27
1000000,60000.000000,58,58,100.00,0.00
1000000,50000.000000,73,73,100.00,0.00
1000000,40000.000000,83,83,100.00,0.00
1000000,30000.000000,113,113,100.00,0.00
1000000,20000.000000,177,177,100.00,0.00
1000000,10000.000000,329,329,100.00,0.30
