Signals,Read,Detected,PercentDetected,Percent1us
50,27,27,100.00,81.48
100,31,31,100.00,77.42
150,29,29,100.00,93.10
200,36,36,100.00,80.56
250,37,37,100.00,94.59
300,39,39,100.00,84.62
350,34,34,100.00,88.24
400,32,32,100.00,87.50
450,36,36,100.00,77.78
500,37,37,100.00,81.08
550,34,34,100.00,91.18
600,37,37,100.00,81.08
650,31,31,100.00,93.55
700,35,35,100.00,88.57
750,35,35,100.00,88.57
800,35,35,100.00,82.86
850,38,38,100.00,84.21
900,33,33,100.00,81.82
950,37,37,100.00,97.30
1000,35,35,100.00,77.14
1050,35,35,100.00,88.57
1100,31,31,100.00,67.74
1150,31,31,100.00,74.19
1200,31,31,100.00,80.65
1250,35,35,100.00,85.71
1300,34,34,100.00,70.59
1350,35,35,100.00,82.86
1400,36,36,100.00,72.22
1450,38,38,100.00,73.68
1500,37,37,100.00,81.08
1550,33,33,100.00,81.82
1600,40,40,100.00,85.00
1650,34,34,100.00,91.18
1700,33,33,100.00,93.94
1750,33,33,100.00,87.88
1800,31,31,100.00,87.10
1850,32,32,100.00,84.38
1900,39,39,100.00,79.49
1950,36,36,100.00,88.89
2000,41,41,100.00,78.05
2050,43,43,100.00,83.72
2100,39,39,100.00,79.49
2150,38,38,100.00,84.21
2200,37,37,100.00,86.49
2250,43,43,100.00,93.02
2300,41,41,100.00,82.93
2350,36,36,100.00,80.56
2400,30,30,100.00,66.67
2450,41,41,100.00,90.24
2500,33,33,100.00,60.61
2550,35,35,100.00,88.57
2600,35,35,100.00,91.43
2650,38,38,100.00,84.21
2700,35,35,100.00,80.00
2750,30,30,100.00,76.67
2800,38,38,100.00,89.47
2850,34,34,100.00,76.47
2900,36,36,100.00,52.78
2950,36,36,100.00,83.33
3000,31,31,100.00,67.74
3050,33,33,100.00,81.82
3100,41,41,100.00,56.10
3150,34,34,100.00,64.71
3200,43,43,100.00,55.81
3250,33,33,100.00,48.48
3300,36,36,100.00,61.11
3350,39,39,100.00,69.23
3400,38,38,100.00,63.16
3450,32,32,100.00,50.00
3500,35,35,100.00,71.43
3550,32,32,100.00,53.12
3600,37,37,100.00,54.05
3650,34,34,100.00,64.71
3700,38,38,100.00,73.68
3750,36,36,100.00,50.00
3800,36,36,100.00,55.56
3850,35,35,100.00,68.57
3900,32,32,100.00,62.50
3950,33,33,100.00,42.42
4000,31,31,100.00,41.94
4050,34,34,100.00,52.94
4100,33,33,100.00,36.36
4150,39,39,100.00,51.28
4200,31,31,100.00,45.16
4250,37,37,100.00,54.05
4300,39,39,100.00,41.03
4350,32,32,100.00,46.88
4400,40,40,100.00,52.50
4450,39,39,100.00,58.97
4500,34,34,100.00,52.94
4550,33,33,100.00,51.52
4600,33,33,100.00,57.58
4650,36,36,100.00,61.11
4700,32,32,100.00,46.88
4750,32,32,100.00,34.38
4800,35,35,100.00,42.86
4850,36,36,100.00,41.67
4900,40,40,100.00,42.50
4950,35,35,100.00,40.00
5000,31,31,100.00,45.16
5050,29,29,100.00,48.28
5100,36,36,100.00,50.00
5150,31,31,100.00,45.16
5200,38,38,100.00,52.63
5250,36,36,100.00,30.56
5300,31,31,100.00,51.61
5350,36,36,100.00,38.89
5400,35,35,100.00,45.71
5450,37,37,100.00,32.43
5500,37,37,100.00,62.16
5550,36,36,100.00,47.22
5600,34,34,100.00,38.24
5650,33,33,100.00,30.30
5700,40,40,100.00,45.00
5750,44,44,100.00,36.36
5800,34,34,100.00,32.35
5850,36,36,100.00,50.00
5900,38,38,100.00,31.58
5950,39,39,100.00,30.77
6000,37,37,100.00,48.65
6050,35,35,100.00,45.71
6100,38,38,100.00,28.95
6150,35,35,100.00,37.14
6200,37,37,100.00,37.84
6250,43,43,100.00,32.56
6300,28,28,100.00,32.14
6350,36,36,100.00,47.22
6400,32,32,100.00,50.00
6450,31,31,100.00,25.81
6500,37,37,100.00,35.14
6550,37,37,100.00,45.95
6600,29,29,100.00,20.69
6650,35,35,100.00,34.29
6700,36,36,100.00,27.78
6750,40,40,100.00,35.00
6800,35,35,100.00,17.14
6850,36,36,100.00,27.78
6900,35,35,100.00,40.00
6950,37,37,100.00,21.62
7000,31,31,100.00,16.13
7050,40,40,100.00,37.50
7100,36,36,100.00,27.78
7150,42,42,100.00,23.81
7200,35,35,100.00,37.14
7250,34,34,100.00,26.47
7300,34,34,100.00,29.41
7350,37,37,100.00,27.03
7400,36,36,100.00,11.11
7450,33,33,100.00,30.30
7500,34,34,100.00,29.41
7550,36,36,100.00,41.67
7600,34,34,100.00,38.24
7650,37,37,100.00,18.92
7700,33,33,100.00,30.30
7750,32,32,100.00,40.62
7800,39,39,100.00,28.21
7850,34,34,100.00,23.53
7900,36,36,100.00,27.78
7950,32,32,100.00,28.12
