Signals,Read,Detected,PercentDetected,Percent1us
50,28,28,100.00,89.29
100,26,26,100.00,100.00
150,33,33,100.00,90.91
200,30,30,100.00,96.67
250,32,32,100.00,90.62
300,39,39,100.00,89.74
350,35,35,100.00,85.71
400,35,35,100.00,77.14
450,38,38,100.00,86.84
500,36,36,100.00,88.89
550,35,35,100.00,82.86
600,34,34,100.00,91.18
650,35,35,100.00,82.86
700,32,32,100.00,90.62
750,34,34,100.00,88.24
800,35,35,100.00,82.86
850,36,36,100.00,75.00
900,35,35,100.00,80.00
950,36,36,100.00,72.22
1000,36,36,100.00,75.00
1050,34,34,100.00,73.53
1100,37,37,100.00,72.97
1150,33,33,100.00,78.79
1200,34,34,100.00,85.29
1250,36,36,100.00,80.56
1300,36,36,100.00,77.78
1350,36,36,100.00,75.00
1400,30,30,100.00,73.33
1450,38,38,100.00,65.79
1500,36,36,100.00,66.67
1550,36,36,100.00,61.11
1600,35,35,100.00,48.57
1650,35,35,100.00,54.29
1700,35,35,100.00,48.57
1750,33,33,100.00,66.67
1800,37,37,100.00,56.76
1850,38,38,100.00,60.53
1900,30,30,100.00,56.67
1950,32,32,100.00,62.50
2000,36,36,100.00,61.11
2050,36,36,100.00,55.56
2100,34,34,100.00,67.65
2150,36,36,100.00,41.67
2200,37,37,100.00,43.24
2250,32,32,100.00,62.50
2300,36,36,100.00,33.33
2350,32,32,100.00,65.62
2400,36,36,100.00,41.67
2450,36,36,100.00,52.78
2500,39,39,100.00,46.15
2550,36,36,100.00,44.44
2600,36,36,100.00,50.00
2650,39,39,100.00,51.28
2700,32,32,100.00,53.12
2750,36,36,100.00,50.00
2800,36,36,100.00,38.89
2850,37,37,100.00,54.05
2900,37,37,100.00,29.73
2950,42,42,100.00,42.86
3000,36,36,100.00,38.89
3050,34,34,100.00,32.35
3100,36,36,100.00,41.67
3150,39,39,100.00,38.46
3200,34,34,100.00,29.41
3250,37,37,100.00,32.43
3300,40,40,100.00,45.00
3350,38,38,100.00,60.53
3400,39,39,100.00,38.46
3450,35,35,100.00,40.00
3500,33,33,100.00,33.33
3550,36,36,100.00,41.67
3600,31,31,100.00,32.26
3650,36,36,100.00,30.56
3700,38,38,100.00,36.84
3750,33,33,100.00,51.52
3800,34,34,100.00,32.35
3850,39,39,100.00,33.33
3900,36,36,100.00,33.33
3950,32,32,100.00,40.62
4000,32,32,100.00,37.50
4050,34,34,100.00,32.35
4100,41,41,100.00,31.71
4150,35,35,100.00,37.14
4200,36,36,100.00,50.00
4250,41,41,100.00,31.71
4300,35,35,100.00,31.43
4350,34,34,100.00,35.29
4400,38,38,100.00,34.21
4450,35,35,100.00,28.57
4500,33,33,100.00,30.30
4550,31,31,100.00,29.03
4600,32,32,100.00,37.50
4650,36,36,100.00,22.22
4700,31,31,100.00,35.48
4750,37,37,100.00,21.62
4800,34,34,100.00,29.41
4850,32,32,100.00,46.88
4900,37,37,100.00,24.32
4950,35,35,100.00,28.57
5000,31,31,100.00,45.16
5050,35,35,100.00,34.29
5100,34,34,100.00,17.65
5150,38,38,100.00,36.84
5200,34,34,100.00,23.53
5250,39,39,100.00,30.77
5300,42,42,100.00,30.95
5350,33,33,100.00,18.18
5400,34,34,100.00,20.59
5450,34,34,100.00,32.35
5500,38,38,100.00,34.21
5550,41,41,100.00,24.39
5600,36,36,100.00,33.33
5650,34,34,100.00,23.53
5700,36,36,100.00,22.22
5750,34,34,100.00,29.41
5800,31,31,100.00,29.03
5850,34,34,100.00,23.53
5900,35,35,100.00,28.57
5950,33,33,100.00,45.45
6000,34,34,100.00,26.47
6050,37,37,100.00,29.73
6100,36,36,100.00,30.56
6150,38,38,100.00,21.05
6200,33,33,100.00,12.12
