Signals,Pace,Changed,Detected,PercentDetected,Percent1us
100,100000.000000,28,28,100.00,96.43
100,90000.000000,34,34,100.00,88.24
100,80000.000000,35,35,100.00,97.14
100,70000.000000,43,43,100.00,88.37
100,60000.000000,53,53,100.00,86.79
100,50000.000000,54,54,100.00,90.74
100,40000.000000,64,64,100.00,87.50
100,30000.000000,86,86,100.00,73.26
100,20000.000000,110,110,100.00,74.55
100,10000.000000,190,190,100.00,71.05
500,100000.000000,31,31,100.00,87.10
500,90000.000000,38,38,100.00,71.05
500,80000.000000,40,40,100.00,82.50
500,70000.000000,48,48,100.00,77.08
500,60000.000000,53,53,100.00,84.91
500,50000.000000,68,68,100.00,75.00
500,40000.000000,73,73,100.00,71.23
500,30000.000000,97,97,100.00,56.70
500,20000.000000,158,158,100.00,45.57
500,10000.000000,245,245,100.00,33.47
1000,100000.000000,32,32,100.00,81.25
1000,90000.000000,37,37,100.00,62.16
1000,80000.000000,39,39,100.00,53.85
1000,70000.000000,51,51,100.00,66.67
1000,60000.000000,59,59,100.00,55.93
1000,50000.000000,64,64,100.00,46.88
1000,40000.000000,88,88,100.00,53.41
1000,30000.000000,105,105,100.00,52.38
1000,20000.000000,163,163,100.00,42.94
1000,10000.000000,273,273,100.00,30.04
10000,100000.000000,45,45,100.00,15.56
10000,90000.000000,44,44,100.00,11.36
10000,80000.000000,45,45,100.00,13.33
10000,70000.000000,55,55,100.00,10.91
10000,60000.000000,60,60,100.00,6.67
10000,50000.000000,76,76,100.00,10.53
10000,40000.000000,76,76,100.00,14.47
10000,30000.000000,131,131,100.00,6.87
10000,20000.000000,161,161,100.00,8.07
10000,10000.000000,300,300,100.00,10.00
100000,100000.000000,38,38,100.00,0.00
100000,90000.000000,43,43,100.00,2.33
100000,80000.000000,45,45,100.00,0.00
100000,70000.000000,57,57,100.00,1.75
100000,60000.000000,60,60,100.00,1.67
100000,50000.000000,68,68,100.00,2.94
100000,40000.000000,87,87,100.00,4.60
100000,30000.000000,111,111,100.00,0.90
100000,20000.000000,158,158,100.00,1.90
100000,10000.000000,311,311,100.00,2.57
1000000,100000.000000,36,36,100.00,0.00
1000000,90000.000000,40,40,100.00,0.00
1000000,80000.000000,43,43,100.00,0.00
1000000,70000.000000,51,51,100.00,0.00
1000000,60000.000000,62,62,100.00,0.00
1000000,50000.000000,74,74,100.00,0.00
1000000,40000.000000,88,88,100.00,1.14
1000000,30000.000000,115,115,100.00,0.00
1000000,20000.000000,168,168,100.00,0.00
1000000,10000.000000,324,324,100.00,0.31
